annealing_type,delta,temperature,restarts,min_edge_cut,max_migrations,max_swaps
EXPONENTIAL,0.99,10,100,2607,3407,4718692
EXPONENTIAL,0.99,10,250,2459,3407,4717115
EXPONENTIAL,0.99,4,100,2476,3363,4716387
EXPONENTIAL,0.99,4,250,2537,3408,4715543
EXPONENTIAL,0.99,2,100,2500,3379,4715127
EXPONENTIAL,0.99,2,250,2532,3359,4714878
EXPONENTIAL,0.95,10,100,2406,3411,4716132
EXPONENTIAL,0.95,10,250,2532,3383,4715205
EXPONENTIAL,0.95,4,100,2454,3350,4715044
EXPONENTIAL,0.95,4,250,2545,3368,4714681
EXPONENTIAL,0.95,2,100,2473,3357,4714830
EXPONENTIAL,0.95,2,250,2492,3297,4714670
EXPONENTIAL,0.9,10,100,2482,3378,4715592
EXPONENTIAL,0.9,10,250,2529,3334,4714887
EXPONENTIAL,0.9,4,100,2481,3344,4715044
EXPONENTIAL,0.9,4,250,2526,3357,4714579
EXPONENTIAL,0.9,2,100,2487,3315,4715075
EXPONENTIAL,0.9,2,250,2421,3308,4714738
EXPONENTIAL,0.8,10,100,2416,3345,4715330
EXPONENTIAL,0.8,10,250,2557,3372,4714675
EXPONENTIAL,0.8,4,100,2558,3353,4714486
EXPONENTIAL,0.8,4,250,2615,3375,4714241
EXPONENTIAL,0.8,2,100,2557,3323,4714586
EXPONENTIAL,0.8,2,250,2474,3325,4714663
